cultivo,anio,mes,grupo,superficie_sembrada_ha,superficie_cosechada_ha,produccion_t,rendimiento_kg_ha,precio_chacra_soles_kg,precipitacion_mm,temp_max_c,temp_min_c
algodon,2023,12,A,94.0,,342.33000000000004,,3.357525779218882,0.008152268678215351,30.936590266283257,14.912426984240518
apio,2020,1,A,1.0,2.0,12.32,6160.0,0.9,0.0672821744716048,31.97127306004451,16.892591757252685
apio,2020,2,A,0.5,1.0,6.15,6150.0,0.8600000000000001,0.06510014539852604,32.8914658459493,17.667667703696974
apio,2020,3,A,0.0,1.0,6.08,6080.0,0.9,0.0423774813895781,33.01318304507825,17.14057441741253
apio,2020,4,A,0.0,0.5,3.06,6120.0,0.9200000000000002,0.00244555424990205,31.55768280174722,14.813744153904292
arandano,2020,6,B,,,1.5,,6.0,0.0046049840933191505,25.625561616376636,9.91502079657103
arandano,2020,7,B,,,46.1,,10.945770065075923,0.0059933842761166495,24.576227965695217,9.570422931188329
arandano,2020,8,B,,,303.01,,9.05504768819511,0.0028811690102011995,25.53867602564971,9.637504522840342
arandano,2020,9,B,,,891.9000000000001,,7.1408790223119185,0.0054668615984405,27.214289666811922,10.348455904937417
arandano,2020,10,B,,,1385.5,,6.758751353302057,0.0010604647354310998,28.768127396279702,11.397505622455661
