anio,cultivo,superficie_sembrada_ha,superficie_cosechada_ha,produccion_t,rendimiento_kg_ha,precio_chacra_soles_kg,precipitacion_mm_prom_ica,temp_max_c_prom_ica,temp_min_c_prom_ica
2023,Alcachofa,,2440.0,45960.0,18836.06557377049,3.9944436466492603,0.017523053420288478,29.24518545226556,13.02798579572429
2020,Alfalfa,,5720.79,135152.818,23624.852162026575,0.2667680456355708,0.017523053420288478,29.24518545226556,13.02798579572429
2021,Alfalfa,,6029.47,146440.98700000002,24287.53887157578,0.2529007606319943,0.017523053420288478,29.24518545226556,13.02798579572429
2022,Alfalfa,,6501.38,150555.88,23157.52655590044,0.3189245873359446,0.017523053420288478,29.24518545226556,13.02798579572429
2023,Alfalfa,,7398.49,167402.13999999998,22626.52784554686,0.3354918634851382,0.017523053420288478,29.24518545226556,13.02798579572429
2020,Algodón,6190.4,,,,,0.017523053420288478,29.24518545226556,13.02798579572429
2020,Algodón rama,,3989.9300000000003,11148.646999999997,2794.1961387793763,2.886396944849003,0.017523053420288478,29.24518545226556,13.02798579572429
2021,Algodón rama,6190.4,2913.0,7367.110999999999,2529.046000686577,4.665153114972749,0.017523053420288478,29.24518545226556,13.02798579572429
2022,Algodón rama,3452.6,5670.74,16307.820000000003,2875.783407456523,6.5953272479092835,0.017523053420288478,29.24518545226556,13.02798579572429
2023,Algodón rama,6539.0,7812.759999999999,21164.080000000005,2708.912087405732,3.2768932833366713,0.017523053420288478,29.24518545226556,13.02798579572429
2020,Anona,,0.0,0.0,0.0,0.0,0.017523053420288478,29.24518545226556,13.02798579572429
2021,Anona,,0.0,0.0,0.0,0.0,0.017523053420288478,29.24518545226556,13.02798579572429
2022,Anona,,0.0,0.0,0.0,0.0,0.017523053420288478,29.24518545226556,13.02798579572429
2023,Anona,,0.0,0.0,0.0,0.0,0.017523053420288478,29.24518545226556,13.02798579572429
2020,Apio,9.5,4.5,27.609999999999996,6135.555555555555,0.8933067729083668,0.017523053420288478,29.24518545226556,13.02798579572429
2021,Apio,0.0,0.0,0.0,0.0,0.0,0.017523053420288478,29.24518545226556,13.02798579572429
2022,Apio,0.0,0.0,0.0,0.0,0.0,0.017523053420288478,29.24518545226556,13.02798579572429
2023,Apio,0.0,0.0,0.0,0.0,0.0,0.017523053420288478,29.24518545226556,13.02798579572429
2020,Arandanos,,480.69,4159.910000000001,8654.038985624833,7.101023820226878,0.017523053420288478,29.24518545226556,13.02798579572429
2021,Arandanos,,2179.19,18648.4,8557.491545023611,6.6356592253956155,0.017523053420288478,29.24518545226556,13.02798579572429
2022,Arandanos,,1771.0,23667.3,13363.805759457933,8.826151507193424,0.017523053420288478,29.24518545226556,13.02798579572429
2023,Arandanos,,1772.2,27508.75,15522.373321295565,10.759372966693103,0.017523053420288478,29.24518545226556,13.02798579572429
2020,Arracacha,0.0,0.0,0.0,0.0,0.0,0.017523053420288478,29.24518545226556,13.02798579572429
2021,Arracacha,0.0,0.0,0.0,0.0,0.0,0.017523053420288478,29.24518545226556,13.02798579572429
2022,Arracacha,0.0,0.0,0.0,0.0,0.0,0.017523053420288478,29.24518545226556,13.02798579572429
2023,Arracacha,0.0,0.0,0.0,0.0,0.0,0.017523053420288478,29.24518545226556,13.02798579572429
2020,Arroz,0.0,,,,,0.017523053420288478,29.24518545226556,13.02798579572429
2020,Arroz cáscara,,0.0,0.0,0.0,0.0,0.017523053420288478,29.24518545226556,13.02798579572429
2021,Arroz cáscara,0.0,0.0,0.0,0.0,0.0,0.017523053420288478,29.24518545226556,13.02798579572429
2022,Arroz cáscara,0.0,0.0,0.0,0.0,0.0,0.017523053420288478,29.24518545226556,13.02798579572429
2023,Arroz cáscara,0.0,0.0,0.0,0.0,0.0,0.017523053420288478,29.24518545226556,13.02798579572429
2020,Arveja grano seco,0.0,0.0,0.0,0.0,0.0,0.017523053420288478,29.24518545226556,13.02798579572429
2021,Arveja grano seco,0.0,0.0,0.0,0.0,0.0,0.017523053420288478,29.24518545226556,13.02798579572429
2022,Arveja grano seco,0.0,0.0,0.0,0.0,0.0,0.017523053420288478,29.24518545226556,13.02798579572429
2023,Arveja grano seco,0.0,0.0,0.0,0.0,0.0,0.017523053420288478,29.24518545226556,13.02798579572429
2020,Arveja grano verde,121.0,123.0,444.869,3616.8211382113823,2.4834085989358665,0.017523053420288478,29.24518545226556,13.02798579572429
2021,Arveja grano verde,97.5,95.5,327.13300000000004,3425.476439790576,3.164877160054167,0.017523053420288478,29.24518545226556,13.02798579572429
2022,Arveja grano verde,93.0,99.0,351.77000000000004,3553.2323232323233,3.3125593427523663,0.017523053420288478,29.24518545226556,13.02798579572429
2023,Arveja grano verde,91.0,87.5,285.33,3260.9142857142856,2.986703115690604,0.017523053420288478,29.24518545226556,13.02798579572429
2020,Avena forrajera,0.0,0.0,0.0,0.0,0.0,0.017523053420288478,29.24518545226556,13.02798579572429
2021,Avena forrajera,0.0,0.0,0.0,0.0,0.0,0.017523053420288478,29.24518545226556,13.02798579572429
2022,Avena forrajera,0.0,0.0,0.0,0.0,0.0,0.017523053420288478,29.24518545226556,13.02798579572429
2023,Avena forrajera,0.0,0.0,0.0,0.0,0.0,0.017523053420288478,29.24518545226556,13.02798579572429
2020,Avena grano,0.0,0.0,0.0,0.0,0.0,0.017523053420288478,29.24518545226556,13.02798579572429
2021,Avena grano,0.0,0.0,0.0,0.0,0.0,0.017523053420288478,29.24518545226556,13.02798579572429
2022,Avena grano,0.0,0.0,0.0,0.0,0.0,0.017523053420288478,29.24518545226556,13.02798579572429
2023,Avena grano,0.0,0.0,0.0,0.0,0.0,0.017523053420288478,29.24518545226556,13.02798579572429
2020,Betarraga,56.0,59.0,333.84000000000003,5658.305084745763,0.9824436855978911,0.017523053420288478,29.24518545226556,13.02798579572429
2021,Betarraga,66.0,66.0,385.73999999999995,5844.545454545454,0.9882449318193601,0.017523053420288478,29.24518545226556,13.02798579572429
2022,Betarraga,44.0,41.0,249.15,6076.829268292683,1.1725466586393738,0.017523053420288478,29.24518545226556,13.02798579572429
2023,Betarraga,57.0,59.0,392.8,6657.627118644067,1.1836812627291242,0.017523053420288478,29.24518545226556,13.02798579572429
2020,Braquearia,,0.0,0.0,0.0,0.0,0.017523053420288478,29.24518545226556,13.02798579572429
2021,Braquearia,,0.0,0.0,0.0,0.0,0.017523053420288478,29.24518545226556,13.02798579572429
2022,Braquearia,,0.0,0.0,0.0,0.0,0.017523053420288478,29.24518545226556,13.02798579572429
2023,Braquearia,,0.0,0.0,0.0,0.0,0.017523053420288478,29.24518545226556,13.02798579572429
2020,Brócoli,0.0,0.0,0.0,0.0,0.0,0.017523053420288478,29.24518545226556,13.02798579572429
2021,Brócoli,0.0,0.0,0.0,0.0,0.0,0.017523053420288478,29.24518545226556,13.02798579572429
2022,Brócoli,0.0,0.0,0.0,0.0,0.0,0.017523053420288478,29.24518545226556,13.02798579572429
2023,Brócoli,0.0,0.0,0.0,0.0,0.0,0.017523053420288478,29.24518545226556,13.02798579572429
2020,Cacao,,0.0,0.0,0.0,0.0,0.017523053420288478,29.24518545226556,13.02798579572429
2021,Cacao,,0.0,0.0,0.0,0.0,0.017523053420288478,29.24518545226556,13.02798579572429
2022,Cacao,,0.0,0.0,0.0,0.0,0.017523053420288478,29.24518545226556,13.02798579572429
2023,Cacao,,0.0,0.0,0.0,0.0,0.017523053420288478,29.24518545226556,13.02798579572429
2020,Café pergamino,,0.0,0.0,0.0,0.0,0.017523053420288478,29.24518545226556,13.02798579572429
2021,Café pergamino,,0.0,0.0,0.0,0.0,0.017523053420288478,29.24518545226556,13.02798579572429
2022,Café pergamino,,0.0,0.0,0.0,0.0,0.017523053420288478,29.24518545226556,13.02798579572429
2023,Café pergamino,,0.0,0.0,0.0,0.0,0.017523053420288478,29.24518545226556,13.02798579572429
2020,Caigua,0.0,0.0,0.0,0.0,0.0,0.017523053420288478,29.24518545226556,13.02798579572429
2021,Caigua,0.0,0.0,0.0,0.0,0.0,0.017523053420288478,29.24518545226556,13.02798579572429
